REF_DATE,GEO,DGUID,Seasonal adjustment,Prices,North American Industry Classification System (NAICS),UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS,year
2005-01,Canada,2021A000011124,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries [T001],Dollars,81,millions,6,v65201210,1.1.1.1,1586464.0,,,,0,2005
2005-01,Canada,2021A000011124,Seasonally adjusted at annual rates,Chained (2017) dollars,Oil and gas extraction [211],Dollars,81,millions,6,v65201237,1.1.1.28,46508.0,,,,0,2005
2005-01,Canada,2021A000011124,Seasonally adjusted at annual rates,Chained (2017) dollars,Oil and gas extraction (except oil sands) [21111],Dollars,81,millions,6,v65201238,1.1.1.29,,..,,,0,2005
2005-01,Canada,2021A000011124,Seasonally adjusted at annual rates,Chained (2017) dollars,"Support activities for mining, and oil and gas extraction [213]",Dollars,81,millions,6,v65201253,1.1.1.44,11388.0,,,,0,2005
2005-01,Canada,2021A000011124,Seasonally adjusted at annual rates,Chained (2017) dollars,Support activities for oil and gas extraction [21311A],Dollars,81,millions,6,v1806917168,1.1.1.294,,..,,,0,2005
2005-01,Canada,2021A000011124,Seasonally adjusted at annual rates,Chained (2017) dollars,Construction [23],Dollars,81,millions,6,v65201258,1.1.1.49,108362.0,,,,0,2005
2005-01,Canada,2021A000011124,Seasonally adjusted at annual rates,Chained (2017) dollars,Non-residential building construction [23B],Dollars,81,millions,6,v65201260,1.1.1.51,18999.0,,,,0,2005
2005-01,Canada,2021A000011124,Seasonally adjusted at annual rates,Chained (2017) dollars,Engineering and other construction activities [23X],Dollars,81,millions,6,v65201262,1.1.1.53,,..,,,0,2005
2005-01,Canada,2021A000011124,Seasonally adjusted at annual rates,Chained (2017) dollars,Manufacturing [31-33],Dollars,81,millions,6,v65201263,1.1.1.54,233572.0,,,,0,2005
2005-01,Canada,2021A000011124,Seasonally adjusted at annual rates,Chained (2017) dollars,Petroleum and coal product manufacturing [324],Dollars,81,millions,6,v65201290,1.1.1.81,14397.0,,,,0,2005
2005-01,Canada,2021A000011124,Seasonally adjusted at annual rates,Chained (2017) dollars,Primary metal manufacturing [331],Dollars,81,millions,6,v65201307,1.1.1.98,14802.0,,,,0,2005
2005-01,Canada,2021A000011124,Seasonally adjusted at annual rates,Chained (2017) dollars,Iron and steel mills and ferro-alloy manufacturing [3311],Dollars,81,millions,6,v65201308,1.1.1.99,4005.0,,,,0,2005
2005-01,Canada,2021A000011124,Seasonally adjusted at annual rates,Chained (2017) dollars,Steel product manufacturing from purchased steel [3312],Dollars,81,millions,6,v65201309,1.1.1.100,1130.0,,,,0,2005
2005-01,Canada,2021A000011124,Seasonally adjusted at annual rates,Chained (2017) dollars,Fabricated metal product manufacturing [332],Dollars,81,millions,6,v65201313,1.1.1.104,16641.0,,,,0,2005
2005-01,Canada,2021A000011124,Seasonally adjusted at annual rates,Chained (2017) dollars,Machinery manufacturing [333],Dollars,81,millions,6,v65201322,1.1.1.113,14297.0,,,,0,2005
2005-01,Canada,2021A000011124,Seasonally adjusted at annual rates,Chained (2017) dollars,Transportation and warehousing [48-49],Dollars,81,millions,6,v65201381,1.1.1.172,69464.0,,,,0,2005
2005-01,Canada,2021A000011124,Seasonally adjusted at annual rates,Chained (2017) dollars,Pipeline transportation [486],Dollars,81,millions,6,v65201390,1.1.1.181,7903.0,,,,0,2005
2005-01,Canada,2021A000011124,Seasonally adjusted at annual rates,Chained (2017) dollars,Crude oil and other pipeline transportation [486A],Dollars,81,millions,6,v65201392,1.1.1.183,2611.0,,,,0,2005
2005-01,Canada,2021A000011124,Seasonally adjusted at annual rates,Chained (2017) dollars,Pipeline transportation of natural gas [4862],Dollars,81,millions,6,v65201391,1.1.1.182,5404.0,,,,0,2005
2005-01,Canada,2021A000011124,Seasonally adjusted at annual rates,Chained (2017) dollars,"Professional, scientific and technical services [54]",Dollars,81,millions,6,v65201429,1.1.1.220,85953.0,,,,0,2005
2005-01,Canada,2021A000011124,Seasonally adjusted at annual rates,Chained (2017) dollars,"Architectural, engineering and related services [5413]",Dollars,81,millions,6,v65201433,1.1.1.224,16028.0,,,,0,2005
2005-01,Canada,2021A000011124,Seasonally adjusted at annual rates,2017 constant prices,All industries [T001],Dollars,81,millions,6,v65201483,1.1.2.1,1588966.0,,,,0,2005
2005-01,Canada,2021A000011124,Seasonally adjusted at annual rates,2017 constant prices,Oil and gas extraction [211],Dollars,81,millions,6,v65201510,1.1.2.28,48156.0,,,,0,2005
2005-01,Canada,2021A000011124,Seasonally adjusted at annual rates,2017 constant prices,Oil and gas extraction (except oil sands) [21111],Dollars,81,millions,6,v65201511,1.1.2.29,,..,,,0,2005
2005-01,Canada,2021A000011124,Seasonally adjusted at annual rates,2017 constant prices,"Support activities for mining, and oil and gas extraction [213]",Dollars,81,millions,6,v65201526,1.1.2.44,11561.0,,,,0,2005
2005-01,Canada,2021A000011124,Seasonally adjusted at annual rates,2017 constant prices,Support activities for oil and gas extraction [21311A],Dollars,81,millions,6,v1806917202,1.1.2.294,,..,,,0,2005
2005-01,Canada,2021A000011124,Seasonally adjusted at annual rates,2017 constant prices,Construction [23],Dollars,81,millions,6,v65201531,1.1.2.49,109759.0,,,,0,2005
2005-01,Canada,2021A000011124,Seasonally adjusted at annual rates,2017 constant prices,Non-residential building construction [23B],Dollars,81,millions,6,v65201533,1.1.2.51,19334.0,,,,0,2005
2005-01,Canada,2021A000011124,Seasonally adjusted at annual rates,2017 constant prices,Engineering and other construction activities [23X],Dollars,81,millions,6,v65201535,1.1.2.53,,..,,,0,2005
2005-01,Canada,2021A000011124,Seasonally adjusted at annual rates,2017 constant prices,Manufacturing [31-33],Dollars,81,millions,6,v65201536,1.1.2.54,236807.0,,,,0,2005
2005-01,Canada,2021A000011124,Seasonally adjusted at annual rates,2017 constant prices,Petroleum and coal product manufacturing [324],Dollars,81,millions,6,v65201563,1.1.2.81,13100.0,,,,0,2005
2005-01,Canada,2021A000011124,Seasonally adjusted at annual rates,2017 constant prices,Primary metal manufacturing [331],Dollars,81,millions,6,v65201580,1.1.2.98,14478.0,,,,0,2005
2005-01,Canada,2021A000011124,Seasonally adjusted at annual rates,2017 constant prices,Iron and steel mills and ferro-alloy manufacturing [3311],Dollars,81,millions,6,v65201581,1.1.2.99,3747.0,,,,0,2005
2005-01,Canada,2021A000011124,Seasonally adjusted at annual rates,2017 constant prices,Steel product manufacturing from purchased steel [3312],Dollars,81,millions,6,v65201582,1.1.2.100,1123.0,,,,0,2005
2005-01,Canada,2021A000011124,Seasonally adjusted at annual rates,2017 constant prices,Fabricated metal product manufacturing [332],Dollars,81,millions,6,v65201586,1.1.2.104,16852.0,,,,0,2005
2005-01,Canada,2021A000011124,Seasonally adjusted at annual rates,2017 constant prices,Machinery manufacturing [333],Dollars,81,millions,6,v65201595,1.1.2.113,14520.0,,,,0,2005
2005-01,Canada,2021A000011124,Seasonally adjusted at annual rates,2017 constant prices,Transportation and warehousing [48-49],Dollars,81,millions,6,v65201654,1.1.2.172,69229.0,,,,0,2005
2005-01,Canada,2021A000011124,Seasonally adjusted at annual rates,2017 constant prices,Pipeline transportation [486],Dollars,81,millions,6,v65201663,1.1.2.181,7417.0,,,,0,2005
