REF_DATE,GEO,DGUID,Capital and repair expenditures,North American Industry Classification System (NAICS),UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS,year
2006,Canada,2021A000011124,Capital expenditures,Oil and gas extraction [211],Dollars,81,millions,6,v95923560,1.1.9,40746.3,,,,1,2006
2006,Canada,2021A000011124,Capital expenditures,"Support activities for mining, and oil and gas extraction [213]",Dollars,81,millions,6,v95923562,1.1.11,2438.8,,,,1,2006
2006,Canada,2021A000011124,Capital expenditures,Construction [23],Dollars,81,millions,6,v95923564,1.1.13,4223.7,,,,1,2006
2006,Canada,2021A000011124,Capital expenditures,Manufacturing [31-33],Dollars,81,millions,6,v95923565,1.1.14,17084.8,,,,1,2006
2006,Canada,2021A000011124,Capital expenditures,Petroleum and coal product manufacturing [324],Dollars,81,millions,6,v95923576,1.1.25,2508.5,,,,1,2006
2006,Canada,2021A000011124,Capital expenditures,Primary metal manufacturing [331],Dollars,81,millions,6,v95923580,1.1.29,1150.4,,,,1,2006
2006,Canada,2021A000011124,Capital expenditures,Fabricated metal product manufacturing [332],Dollars,81,millions,6,v95923581,1.1.30,723.3,,,,1,2006
2006,Canada,2021A000011124,Capital expenditures,Machinery manufacturing [333],Dollars,81,millions,6,v95923582,1.1.31,462.5,,,,1,2006
2006,Canada,2021A000011124,Capital expenditures,Transportation and warehousing [48-49],Dollars,81,millions,6,v95923590,1.1.39,11910.5,,,,1,2006
2006,Canada,2021A000011124,Capital expenditures,"Professional, scientific and technical services [54]",Dollars,81,millions,6,v95923594,1.1.43,1848.0,,,,1,2006
2006,Canada,2021A000011124,"Capital, construction",Oil and gas extraction [211],Dollars,81,millions,6,v95923614,1.2.9,33319.2,,,,1,2006
2006,Canada,2021A000011124,"Capital, construction","Support activities for mining, and oil and gas extraction [213]",Dollars,81,millions,6,v95923616,1.2.11,135.4,,,,1,2006
2006,Canada,2021A000011124,"Capital, construction",Construction [23],Dollars,81,millions,6,v95923618,1.2.13,586.6,,,,1,2006
2006,Canada,2021A000011124,"Capital, construction",Manufacturing [31-33],Dollars,81,millions,6,v95923619,1.2.14,2665.9,,,,1,2006
2006,Canada,2021A000011124,"Capital, construction",Petroleum and coal product manufacturing [324],Dollars,81,millions,6,v95923630,1.2.25,307.9,,,,1,2006
2006,Canada,2021A000011124,"Capital, construction",Primary metal manufacturing [331],Dollars,81,millions,6,v95923634,1.2.29,182.5,,,,1,2006
2006,Canada,2021A000011124,"Capital, construction",Fabricated metal product manufacturing [332],Dollars,81,millions,6,v95923635,1.2.30,122.6,,,,1,2006
2006,Canada,2021A000011124,"Capital, construction",Machinery manufacturing [333],Dollars,81,millions,6,v95923636,1.2.31,78.8,,,,1,2006
2006,Canada,2021A000011124,"Capital, construction",Transportation and warehousing [48-49],Dollars,81,millions,6,v95923644,1.2.39,5767.2,,,,1,2006
2006,Canada,2021A000011124,"Capital, construction","Professional, scientific and technical services [54]",Dollars,81,millions,6,v95923648,1.2.43,481.7,,,,1,2006
2006,Canada,2021A000011124,"Capital, machinery and equipment",Oil and gas extraction [211],Dollars,81,millions,6,v95923668,1.3.9,7427.1,,,,1,2006
2006,Canada,2021A000011124,"Capital, machinery and equipment","Support activities for mining, and oil and gas extraction [213]",Dollars,81,millions,6,v95923670,1.3.11,2303.4,,,,1,2006
2006,Canada,2021A000011124,"Capital, machinery and equipment",Construction [23],Dollars,81,millions,6,v95923672,1.3.13,3637.1,,,,1,2006
2006,Canada,2021A000011124,"Capital, machinery and equipment",Manufacturing [31-33],Dollars,81,millions,6,v95923673,1.3.14,14418.9,,,,1,2006
2006,Canada,2021A000011124,"Capital, machinery and equipment",Petroleum and coal product manufacturing [324],Dollars,81,millions,6,v95923684,1.3.25,2200.6,,,,1,2006
2006,Canada,2021A000011124,"Capital, machinery and equipment",Primary metal manufacturing [331],Dollars,81,millions,6,v95923688,1.3.29,967.9,,,,1,2006
2006,Canada,2021A000011124,"Capital, machinery and equipment",Fabricated metal product manufacturing [332],Dollars,81,millions,6,v95923689,1.3.30,600.7,,,,1,2006
2006,Canada,2021A000011124,"Capital, machinery and equipment",Machinery manufacturing [333],Dollars,81,millions,6,v95923690,1.3.31,383.7,,,,1,2006
2006,Canada,2021A000011124,"Capital, machinery and equipment",Transportation and warehousing [48-49],Dollars,81,millions,6,v95923698,1.3.39,6143.3,,,,1,2006
2006,Canada,2021A000011124,"Capital, machinery and equipment","Professional, scientific and technical services [54]",Dollars,81,millions,6,v95923702,1.3.43,1366.3,,,,1,2006
2006,Canada,2021A000011124,Repair expenditures,Oil and gas extraction [211],Dollars,81,millions,6,v95923722,1.4.9,2510.0,,,,1,2006
2006,Canada,2021A000011124,Repair expenditures,"Support activities for mining, and oil and gas extraction [213]",Dollars,81,millions,6,v95923724,1.4.11,739.5,,,,1,2006
2006,Canada,2021A000011124,Repair expenditures,Construction [23],Dollars,81,millions,6,v95923726,1.4.13,2034.5,,,,1,2006
2006,Canada,2021A000011124,Repair expenditures,Manufacturing [31-33],Dollars,81,millions,6,v95923727,1.4.14,10370.1,,,,1,2006
2006,Canada,2021A000011124,Repair expenditures,Petroleum and coal product manufacturing [324],Dollars,81,millions,6,v95923738,1.4.25,604.7,,,,1,2006
2006,Canada,2021A000011124,Repair expenditures,Primary metal manufacturing [331],Dollars,81,millions,6,v95923742,1.4.29,1903.9,,,,1,2006
