REF_DATE,GEO,DGUID,Prices,North American Industry Classification System (NAICS),UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS,year
2005,Newfoundland and Labrador,2021A000210,Current dollars,All industries [T001],Dollars,81,millions,6,v1793281794,1.1.1,20542.6,,,,1,2005
2005,Newfoundland and Labrador,2021A000210,Current dollars,Oil and gas extraction [211],Dollars,81,millions,6,v1793281575,1.1.29,6393.6,,,,1,2005
2005,Newfoundland and Labrador,2021A000210,Current dollars,Oil and gas extraction (except oil sands) [21111],Dollars,81,millions,6,v1793281576,1.1.30,,..,,,1,2005
2005,Newfoundland and Labrador,2021A000210,Current dollars,"Support activities for mining, and oil and gas extraction [213]",Dollars,81,millions,6,v1793281591,1.1.45,173.7,,,,1,2005
2005,Newfoundland and Labrador,2021A000210,Current dollars,Support activities for oil and gas extraction [21311A],Dollars,81,millions,6,v1793281592,1.1.46,,..,,,1,2005
2005,Newfoundland and Labrador,2021A000210,Current dollars,Construction [23],Dollars,81,millions,6,v1793281598,1.1.52,930.5,,,,1,2005
2005,Newfoundland and Labrador,2021A000210,Current dollars,Non-residential building construction [23B],Dollars,81,millions,6,v1793281600,1.1.54,96.4,,,,1,2005
2005,Newfoundland and Labrador,2021A000210,Current dollars,Engineering and other construction activities [23X],Dollars,81,millions,6,v1793281602,1.1.55,362.0,,,,1,2005
2005,Newfoundland and Labrador,2021A000210,Current dollars,Manufacturing [31-33],Dollars,81,millions,6,v1793281662,1.1.57,817.2,,,,1,2005
2005,Newfoundland and Labrador,2021A000210,Current dollars,Petroleum and coal product manufacturing [324],Dollars,81,millions,6,v1793281627,1.1.82,130.5,,,,1,2005
2005,Newfoundland and Labrador,2021A000210,Current dollars,Primary metal manufacturing [331],Dollars,81,millions,6,v1793281639,1.1.94,2.9,,,,1,2005
2005,Newfoundland and Labrador,2021A000210,Current dollars,Iron and steel mills and ferro-alloy manufacturing [3311],Dollars,81,millions,6,v1793281640,1.1.95,0.0,,,,1,2005
2005,Newfoundland and Labrador,2021A000210,Current dollars,Steel product manufacturing from purchased steel [3312],Dollars,81,millions,6,v1793281641,1.1.96,2.8,,,,1,2005
2005,Newfoundland and Labrador,2021A000210,Current dollars,Fabricated metal product manufacturing [332],Dollars,81,millions,6,v1793281645,1.1.100,103.7,,,,1,2005
2005,Newfoundland and Labrador,2021A000210,Current dollars,Machinery manufacturing [333],Dollars,81,millions,6,v1793281646,1.1.101,6.0,,,,1,2005
2005,Newfoundland and Labrador,2021A000210,Current dollars,Transportation and warehousing [48-49],Dollars,81,millions,6,v1793281703,1.1.141,550.8,,,,1,2005
2005,Newfoundland and Labrador,2021A000210,Current dollars,Pipeline transportation [486],Dollars,81,millions,6,v1793281691,1.1.150,0.0,,,,1,2005
2005,Newfoundland and Labrador,2021A000210,Current dollars,Crude oil and other pipeline transportation [486A],Dollars,81,millions,6,v1793281693,1.1.151,0.0,,,,1,2005
2005,Newfoundland and Labrador,2021A000210,Current dollars,Pipeline transportation of natural gas [4862],Dollars,81,millions,6,v1793281692,1.1.152,0.0,,,,1,2005
2005,Newfoundland and Labrador,2021A000210,Current dollars,"Professional, scientific and technical services [54]",Dollars,81,millions,6,v1793281737,1.1.191,453.0,,,,1,2005
2005,Newfoundland and Labrador,2021A000210,Current dollars,"Architectural, engineering and related services [5413]",Dollars,81,millions,6,v1793281740,1.1.195,110.7,,,,1,2005
2005,Newfoundland and Labrador,2021A000210,Chained (2017) dollars,All industries [T001],Dollars,81,millions,6,v1793282041,1.2.1,27296.6,,,,1,2005
2005,Newfoundland and Labrador,2021A000210,Chained (2017) dollars,Oil and gas extraction [211],Dollars,81,millions,6,v1793281822,1.2.29,5890.1,,,,1,2005
2005,Newfoundland and Labrador,2021A000210,Chained (2017) dollars,Oil and gas extraction (except oil sands) [21111],Dollars,81,millions,6,v1793281823,1.2.30,,..,,,1,2005
2005,Newfoundland and Labrador,2021A000210,Chained (2017) dollars,"Support activities for mining, and oil and gas extraction [213]",Dollars,81,millions,6,v1793281838,1.2.45,483.0,,,,1,2005
2005,Newfoundland and Labrador,2021A000210,Chained (2017) dollars,Support activities for oil and gas extraction [21311A],Dollars,81,millions,6,v1793281839,1.2.46,,..,,,1,2005
